2024-04-27 12:22:52 INFO  MoneyControl:26 - open URL
  2024-04-27 12:22:56 WARN  MoneyControl:33 - Wait for 3 sec
  2024-04-27 12:23:23 INFO  MoneyControl:37 - Reliance industries
  2024-04-27 12:23:28 WARN  MoneyControl:44 - Wait for 3 sec
  2024-04-27 12:23:32 INFO  MoneyControl:48 - SIP return
  2024-04-27 12:23:34 INFO  MoneyControl:54 - Axis Mutual Fund
  2024-04-27 12:23:36 INFO  MoneyControl:60 - Axis Arbitrage Fund - Regular plan
  2024-04-27 12:23:36 INFO  MoneyControl:64 - 100000-Indian rupees
  2024-04-27 12:23:39 INFO  MoneyControl:70 - calculate
  2024-04-27 12:23:39 INFO  MoneyControl:77 - terminated
  
